fecha,letra,share_mujer
2007-01-01,A,.11357647
2007-01-01,B,.074125655
2007-01-01,C,.18146728
2007-01-01,D,.16000752
2007-01-01,E,.082821988
2007-01-01,F,.040397115
2007-01-01,G,.33787861
2007-01-01,H,.080878675
2007-01-01,I,.41734865
2007-01-01,J,.33718666
2007-01-01,K,.4767265
2007-01-01,L,.33056101
2007-01-01,M,.40575427
2007-01-01,N,.30569953
2007-01-01,O,.42216814
2007-01-01,P,.74194634
2007-01-01,Q,.72986954
2007-01-01,R,.39579347
2007-01-01,S,.45627308
2007-01-01,U,.53544497
2007-01-01,Z,.30518234
2007-02-01,A,.11598698
2007-02-01,B,.075313807
2007-02-01,C,.18138996
2007-02-01,D,.1604111
2007-02-01,E,.084497653
2007-02-01,F,.040173929
2007-02-01,G,.33658552
2007-02-01,H,.081195779
2007-02-01,I,.41780347
2007-02-01,J,.33885217
2007-02-01,K,.47920376
2007-02-01,L,.32974222
2007-02-01,M,.40276149
2007-02-01,N,.30905935
2007-02-01,O,.42334211
2007-02-01,P,.74114329
2007-02-01,Q,.7301746
2007-02-01,R,.39275268
2007-02-01,S,.45590878
2007-02-01,U,.53493613
2007-02-01,Z,.31141201
2007-03-01,A,.11479058
2007-03-01,B,.075786427
2007-03-01,C,.18023275
2007-03-01,D,.16038415
2007-03-01,E,.083815396
2007-03-01,F,.039631475
2007-03-01,G,.33361185
2007-03-01,H,.080869712
2007-03-01,I,.41491902
2007-03-01,J,.33840328
2007-03-01,K,.48135933
2007-03-01,L,.32606333
2007-03-01,M,.40374768
2007-03-01,N,.30852509
2007-03-01,O,.42329487
2007-03-01,P,.74019814
2007-03-01,Q,.7301861
2007-03-01,R,.38927108
2007-03-01,S,.45741737
2007-03-01,U,.53656715
2007-03-01,Z,.30232558
2007-04-01,A,.11084955
2007-04-01,B,.076074772
2007-04-01,C,.17939392
2007-04-01,D,.16066518
2007-04-01,E,.083024248
2007-04-01,F,.039769083
2007-04-01,G,.33219004
2007-04-01,H,.080144152
2007-04-01,I,.41489488
2007-04-01,J,.33777359
2007-04-01,K,.48138559
2007-04-01,L,.32484335
2007-04-01,M,.40269655
2007-04-01,N,.30965689
2007-04-01,O,.42579862
2007-04-01,P,.74161994
2007-04-01,Q,.73025745
2007-04-01,R,.3908478
2007-04-01,S,.45957243
2007-04-01,U,.53313255
2007-04-01,Z,.29981378
2007-05-01,A,.10270301
2007-05-01,B,.075416774
2007-05-01,C,.17781346
2007-05-01,D,.16086112
2007-05-01,E,.083351761
2007-05-01,F,.039163463
2007-05-01,G,.33201423
2007-05-01,H,.079759628
2007-05-01,I,.4119764
2007-05-01,J,.33728632
2007-05-01,K,.48085311
2007-05-01,L,.32410055
2007-05-01,M,.40361568
2007-05-01,N,.31276286
2007-05-01,O,.42618611
2007-05-01,P,.74119395
2007-05-01,Q,.72970653
2007-05-01,R,.38978916
2007-05-01,S,.46187475
2007-05-01,U,.53323263
2007-05-01,Z,.31656185
2007-06-01,A,.10057422
2007-06-01,B,.075047709
2007-06-01,C,.17793722
2007-06-01,D,.1616883
2007-06-01,E,.082817093
2007-06-01,F,.039404877
2007-06-01,G,.33360165
2007-06-01,H,.080221377
2007-06-01,I,.41249579
2007-06-01,J,.33759105
2007-06-01,K,.48210013
2007-06-01,L,.32476568
2007-06-01,M,.40839314
2007-06-01,N,.31289077
2007-06-01,O,.43327808
2007-06-01,P,.74014229
2007-06-01,Q,.72883594
2007-06-01,R,.39519054
2007-06-01,S,.46362212
2007-06-01,U,.53157896
2007-06-01,Z,.30802602
2007-07-01,A,.097644866
2007-07-01,B,.076020896
2007-07-01,C,.17662643
2007-07-01,D,.16282317
2007-07-01,E,.084633626
2007-07-01,F,.039897081
2007-07-01,G,.33462045
2007-07-01,H,.080728076
2007-07-01,I,.41687149
2007-07-01,J,.33887213
2007-07-01,K,.48215476
2007-07-01,L,.32607421
2007-07-01,M,.40667737
2007-07-01,N,.31329161
2007-07-01,O,.4266111
2007-07-01,P,.74160695
2007-07-01,Q,.72911733
2007-07-01,R,.39970446
2007-07-01,S,.4640106
2007-07-01,U,.53218561
2007-07-01,Z,.30000001
2007-08-01,A,.096036516
2007-08-01,B,.075363927
2007-08-01,C,.17666969
2007-08-01,D,.1636461
2007-08-01,E,.084623516
2007-08-01,F,.040094521
2007-08-01,G,.33552369
2007-08-01,H,.08104416
2007-08-01,I,.41717154
2007-08-01,J,.33915782
2007-08-01,K,.48235306
2007-08-01,L,.32913935
2007-08-01,M,.40714294
2007-08-01,N,.31351253
2007-08-01,O,.42905095
2007-08-01,P,.73971748
2007-08-01,Q,.72947222
2007-08-01,R,.39712384
2007-08-01,S,.46451333
2007-08-01,U,.53047407
2007-08-01,Z,.28484848
2007-09-01,A,.095350027
2007-09-01,B,.074676625
2007-09-01,C,.17702246
2007-09-01,D,.16341443
2007-09-01,E,.084032319
2007-09-01,F,.040406443
2007-09-01,G,.33493426
2007-09-01,H,.080518283
2007-09-01,I,.41643849
2007-09-01,J,.338337
2007-09-01,K,.48308221
2007-09-01,L,.32736734
2007-09-01,M,.40860006
2007-09-01,N,.31585774
2007-09-01,O,.42732882
2007-09-01,P,.74000865
2007-09-01,Q,.72971338
2007-09-01,R,.39208505
2007-09-01,S,.46506691
2007-09-01,U,.53472739
2007-09-01,Z,.26923078
2007-10-01,A,.10722405
2007-10-01,B,.076248132
2007-10-01,C,.1773333
2007-10-01,D,.16291493
2007-10-01,E,.083223738
2007-10-01,F,.040619362
2007-10-01,G,.33572504
2007-10-01,H,.081248827
2007-10-01,I,.42010027
2007-10-01,J,.3398695
2007-10-01,K,.48445666
2007-10-01,L,.32864112
2007-10-01,M,.40847132
2007-10-01,N,.3155131
2007-10-01,O,.42229763
2007-10-01,P,.74015623
2007-10-01,Q,.7300868
2007-10-01,R,.39099404
2007-10-01,S,.46581158
2007-10-01,U,.53298742
2007-10-01,Z,.28375733
2007-11-01,A,.11925461
2007-11-01,B,.075371429
2007-11-01,C,.17714004
2007-11-01,D,.163195
2007-11-01,E,.084163256
2007-11-01,F,.041164428
2007-11-01,G,.33686635
2007-11-01,H,.081404835
2007-11-01,I,.42077842
2007-11-01,J,.34124973
2007-11-01,K,.48565945
2007-11-01,L,.33079934
2007-11-01,M,.41171622
2007-11-01,N,.31826848
2007-11-01,O,.4328343
2007-11-01,P,.73993999
2007-11-01,Q,.73017257
2007-11-01,R,.39104918
2007-11-01,S,.46596357
2007-11-01,U,.53515917
2007-11-01,Z,.26797387
2007-12-01,A,.11685117
2007-12-01,B,.075651869
2007-12-01,C,.17940962
2007-12-01,D,.16401528
2007-12-01,E,.08259578
2007-12-01,F,.043400865
2007-12-01,G,.34119609
2007-12-01,H,.081302583
2007-12-01,I,.42545357
2007-12-01,J,.3411693
2007-12-01,K,.48659906
2007-12-01,L,.33418119
2007-12-01,M,.41735339
2007-12-01,N,.31246543
2007-12-01,O,.42379877
2007-12-01,P,.73973244
2007-12-01,Q,.7301535
2007-12-01,R,.39491987
2007-12-01,S,.46694967
2007-12-01,U,.5378955
2007-12-01,Z,.25213677
2008-01-01,A,.11438765
2008-01-01,B,.075877734
2008-01-01,C,.18098761
2008-01-01,D,.16343424
2008-01-01,E,.082605839
2008-01-01,F,.043692771
2008-01-01,G,.34368441
2008-01-01,H,.08486972
2008-01-01,I,.42910263
2008-01-01,J,.33976319
2008-01-01,K,.48675248
2008-01-01,L,.33671281
2008-01-01,M,.41148266
2008-01-01,N,.30931267
2008-01-01,O,.43350142
2008-01-01,P,.74117714
2008-01-01,Q,.72962171
2008-01-01,R,.39982691
2008-01-01,S,.46463895
2008-01-01,U,.53259259
2008-01-01,Z,.25576037
2008-02-01,A,.1171765
2008-02-01,B,.077627763
2008-02-01,C,.18166757
2008-02-01,D,.16295613
2008-02-01,E,.082650065
2008-02-01,F,.043400258
2008-02-01,G,.34275088
2008-02-01,H,.082284234
2008-02-01,I,.42958385
2008-02-01,J,.34191763
2008-02-01,K,.4884896
2008-02-01,L,.33523118
2008-02-01,M,.41204998
2008-02-01,N,.31180671
2008-02-01,O,.43049631
2008-02-01,P,.74097031
2008-02-01,Q,.72962672
2008-02-01,R,.39910662
2008-02-01,S,.46379355
2008-02-01,U,.53484958
2008-02-01,Z,.26618704
2008-03-01,A,.11741464
2008-03-01,B,.076958962
2008-03-01,C,.18123455
2008-03-01,D,.16252851
2008-03-01,E,.083021916
2008-03-01,F,.04334417
2008-03-01,G,.34107894
2008-03-01,H,.081885844
2008-03-01,I,.42788678
2008-03-01,J,.34206691
2008-03-01,K,.48945111
2008-03-01,L,.33528218
2008-03-01,M,.41225421
2008-03-01,N,.31516778
2008-03-01,O,.42289588
2008-03-01,P,.74066651
2008-03-01,Q,.72971725
2008-03-01,R,.39853802
2008-03-01,S,.464037
2008-03-01,U,.5384047
2008-03-01,Z,.27832511
2008-04-01,A,.11398306
2008-04-01,B,.0764504
2008-04-01,C,.1804112
2008-04-01,D,.16237147
2008-04-01,E,.08349859
2008-04-01,F,.042652495
2008-04-01,G,.33971685
2008-04-01,H,.081136853
2008-04-01,I,.42652825
2008-04-01,J,.34142995
2008-04-01,K,.48832151
2008-04-01,L,.33311066
2008-04-01,M,.41460013
2008-04-01,N,.31705368
2008-04-01,O,.42397389
2008-04-01,P,.74091196
2008-04-01,Q,.72972018
2008-04-01,R,.3953346
2008-04-01,S,.46615106
2008-04-01,U,.5420354
2008-04-01,Z,.27419356
2008-05-01,A,.10685346
2008-05-01,B,.076853245
2008-05-01,C,.17909639
2008-05-01,D,.16287138
2008-05-01,E,.084337719
2008-05-01,F,.04280648
2008-05-01,G,.34107882
2008-05-01,H,.081367925
2008-05-01,I,.42649758
2008-05-01,J,.34093851
2008-05-01,K,.48887041
2008-05-01,L,.33220538
2008-05-01,M,.41319683
2008-05-01,N,.32068607
2008-05-01,O,.45403734
2008-05-01,P,.7410509
2008-05-01,Q,.73001069
2008-05-01,R,.3989988
2008-05-01,S,.46772549
2008-05-01,U,.54245973
2008-05-01,Z,.25345623
2008-06-01,A,.10498763
2008-06-01,B,.076873042
2008-06-01,C,.17927809
2008-06-01,D,.16364537
2008-06-01,E,.084516011
2008-06-01,F,.043592855
2008-06-01,G,.3423039
2008-06-01,H,.081549048
2008-06-01,I,.42762244
2008-06-01,J,.34038752
2008-06-01,K,.49002939
2008-06-01,L,.33472076
2008-06-01,M,.41465718
2008-06-01,N,.32359606
2008-06-01,O,.4442507
2008-06-01,P,.7405315
2008-06-01,Q,.73055178
2008-06-01,R,.39924467
2008-06-01,S,.47054362
2008-06-01,U,.53777778
2008-06-01,Z,.24145786
2008-07-01,A,.10231972
2008-07-01,B,.077201396
2008-07-01,C,.17844506
2008-07-01,D,.16380277
2008-07-01,E,.081920646
2008-07-01,F,.044100337
2008-07-01,G,.34196529
2008-07-01,H,.081773393
2008-07-01,I,.43014902
2008-07-01,J,.34189281
2008-07-01,K,.48985046
2008-07-01,L,.33515698
2008-07-01,M,.41575316
2008-07-01,N,.32413527
2008-07-01,O,.42713523
2008-07-01,P,.74156576
2008-07-01,Q,.73013663
2008-07-01,R,.40248325
2008-07-01,S,.4702937
2008-07-01,U,.5371471
2008-07-01,Z,.25765306
2008-08-01,A,.10039189
2008-08-01,B,.077488691
2008-08-01,C,.17793995
2008-08-01,D,.16310674
2008-08-01,E,.082120426
2008-08-01,F,.04450975
2008-08-01,G,.34300154
2008-08-01,H,.082154073
2008-08-01,I,.43073219
2008-08-01,J,.3384777
2008-08-01,K,.48986879
2008-08-01,L,.33754635
2008-08-01,M,.41980365
2008-08-01,N,.32598865
2008-08-01,O,.43168372
2008-08-01,P,.74012727
2008-08-01,Q,.7304039
2008-08-01,R,.40190575
2008-08-01,S,.47049651
2008-08-01,U,.53531599
2008-08-01,Z,.24870466
2008-09-01,A,.10234912
2008-09-01,B,.078017794
2008-09-01,C,.17806391
2008-09-01,D,.16309848
2008-09-01,E,.082371622
2008-09-01,F,.044440255
2008-09-01,G,.34307563
2008-09-01,H,.082705133
2008-09-01,I,.43001011
2008-09-01,J,.33776802
2008-09-01,K,.48971301
2008-09-01,L,.33701867
2008-09-01,M,.41818374
2008-09-01,N,.32767478
2008-09-01,O,.43278718
2008-09-01,P,.74028718
2008-09-01,Q,.730488
2008-09-01,R,.40030447
2008-09-01,S,.47159544
2008-09-01,U,.53942519
2008-09-01,Z,.24396783
2008-10-01,A,.11834589
2008-10-01,B,.07762067
2008-10-01,C,.17886174
2008-10-01,D,.16406758
2008-10-01,E,.08217933
2008-10-01,F,.044284783
2008-10-01,G,.34421462
2008-10-01,H,.083319083
2008-10-01,I,.43206146
2008-10-01,J,.33749431
2008-10-01,K,.49017912
2008-10-01,L,.33954558
2008-10-01,M,.41976887
2008-10-01,N,.33137229
2008-10-01,O,.43161207
2008-10-01,P,.74076879
2008-10-01,Q,.73102546
2008-10-01,R,.39915535
2008-10-01,S,.47186002
2008-10-01,U,.53773582
2008-10-01,Z,.25340599
2008-11-01,A,.1228459
2008-11-01,B,.078033984
2008-11-01,C,.17908405
2008-11-01,D,.1644944
2008-11-01,E,.082087293
2008-11-01,F,.045101363
2008-11-01,G,.34535038
2008-11-01,H,.083551802
2008-11-01,I,.4337073
2008-11-01,J,.33770326
2008-11-01,K,.48998615
2008-11-01,L,.33954638
2008-11-01,M,.42366037
2008-11-01,N,.33120677
2008-11-01,O,.43801576
2008-11-01,P,.74019533
2008-11-01,Q,.73128885
2008-11-01,R,.39862415
2008-11-01,S,.47239265
2008-11-01,U,.5363372
2008-11-01,Z,.25663716
2008-12-01,A,.1151899
2008-12-01,B,.078072168
2008-12-01,C,.18086819
2008-12-01,D,.16536869
2008-12-01,E,.081075355
2008-12-01,F,.046890605
2008-12-01,G,.34862575
2008-12-01,H,.083215401
2008-12-01,I,.43571481
2008-12-01,J,.33772078
2008-12-01,K,.4896048
2008-12-01,L,.34280258
2008-12-01,M,.42534971
2008-12-01,N,.32801172
2008-12-01,O,.43988791
2008-12-01,P,.73853272
2008-12-01,Q,.73132658
2008-12-01,R,.39733618
2008-12-01,S,.47208971
2008-12-01,U,.53940707
2008-12-01,Z,.250774
2009-01-01,A,.11813597
2009-01-01,B,.079376847
2009-01-01,C,.18365023
2009-01-01,D,.16490954
2009-01-01,E,.080494329
2009-01-01,F,.047921821
2009-01-01,G,.35145217
2009-01-01,H,.083057575
2009-01-01,I,.44085991
