fecha,share_mujer
2007-01-01,.30174282
2007-02-01,.30086884
2007-03-01,.29930505
2007-04-01,.29951081
2007-05-01,.29907972
2007-06-01,.30064747
2007-07-01,.30053493
2007-08-01,.30077839
2007-09-01,.3010067
2007-10-01,.30168355
2007-11-01,.30303055
2007-12-01,.30546507
2008-01-01,.30422798
2008-02-01,.30390123
2008-03-01,.30344635
2008-04-01,.30318239
2008-05-01,.30412829
2008-06-01,.30594611
2008-07-01,.30582806
2008-08-01,.30672911
2008-09-01,.30707955
2008-10-01,.30860144
2008-11-01,.3098689
2008-12-01,.31158087
2009-01-01,.31217828
2009-02-01,.31225237
2009-03-01,.31123582
2009-04-01,.31183875
2009-05-01,.31186572
2009-06-01,.31208301
2009-07-01,.31230032
2009-08-01,.31279033
2009-09-01,.31329289
2009-10-01,.31370091
2009-11-01,.31410891
2009-12-01,.31605098
2010-01-01,.31558824
2010-02-01,.31526616
2010-03-01,.31343269
2010-04-01,.31342191
2010-05-01,.31402418
2010-06-01,.31492898
2010-07-01,.31468344
2010-08-01,.31475088
2010-09-01,.31442353
2010-10-01,.31487244
2010-11-01,.31474969
2010-12-01,.31652743
2011-01-01,.31623551
2011-02-01,.31575572
2011-03-01,.31346941
2011-04-01,.31308946
2011-05-01,.31293416
2011-06-01,.31391525
2011-07-01,.31418845
2011-08-01,.31459448
2011-09-01,.31454888
2011-10-01,.31461954
2011-11-01,.31514296
2011-12-01,.31733188
2012-01-01,.31700507
2012-02-01,.31734905
2012-03-01,.31599045
2012-04-01,.3162691
2012-05-01,.31644577
2012-06-01,.31779292
2012-07-01,.3181242
2012-08-01,.31858772
2012-09-01,.31896549
2012-10-01,.31908739
2012-11-01,.31929249
2012-12-01,.31918526
2013-01-01,.319078
2013-02-01,.31995675
2013-03-01,.3180925
2013-04-01,.3176547
2013-05-01,.31766668
2013-06-01,.3190994
2013-07-01,.31888318
2013-08-01,.31975508
2013-09-01,.31921911
2013-10-01,.31976771
2013-11-01,.32086748
2013-12-01,.32175726
2014-01-01,.32111704
2014-02-01,.32186168
2014-03-01,.32078344
2014-04-01,.32046816
2014-05-01,.32066122
2014-06-01,.32090774
2014-07-01,.32099247
2014-08-01,.32165366
2014-09-01,.32157612
2014-10-01,.32203341
2014-11-01,.32196346
2014-12-01,.32350692
2015-01-01,.32286629
2015-02-01,.32245162
2015-03-01,.32097536
2015-04-01,.32058534
2015-05-01,.32079774
2015-06-01,.32090634
2015-07-01,.32120913
2015-08-01,.32264417
2015-09-01,.32247066
2015-10-01,.32383624
2015-11-01,.32480553
2015-12-01,.32697758
2016-01-01,.32707962
2016-02-01,.32756302
2016-03-01,.32693696
2016-04-01,.3272225
2016-05-01,.32770729
2016-06-01,.328228
2016-07-01,.3284896
2016-08-01,.3284598
2016-09-01,.32866797
2016-10-01,.32902208
2016-11-01,.32878613
2016-12-01,.32998309
2017-01-01,.32901049
2017-02-01,.32854554
2017-03-01,.32736787
2017-04-01,.32736024
2017-05-01,.32700026
2017-06-01,.32729757
2017-07-01,.3278116
2017-08-01,.32798198
2017-09-01,.32767338
2017-10-01,.32788029
2017-11-01,.32776374
2017-12-01,.3293328
2018-01-01,.32811475
2018-02-01,.32831419
2018-03-01,.32757846
2018-04-01,.32744151
2018-05-01,.32806462
2018-06-01,.32868326
2018-07-01,.3290523
2018-08-01,.32916352
2018-09-01,.33018395
2018-10-01,.33085835
2018-11-01,.33104056
2018-12-01,.33229724
2019-01-01,.33083653
2019-02-01,.33007216
2019-03-01,.32961708
2019-04-01,.3294574
2019-05-01,.32982644
2019-06-01,.33072814
2019-07-01,.33095676
2019-08-01,.33194131
2019-09-01,.3327167
2019-10-01,.33380786
2019-11-01,.3343071
2019-12-01,.33611891
2020-01-01,.33580396
2020-02-01,.33557156
2020-03-01,.33502778
2020-04-01,.33496162
2020-05-01,.33480668
2020-06-01,.33421326
2020-07-01,.33400545
2020-08-01,.33358222
2020-09-01,.33276883
2020-10-01,.33220622
2020-11-01,.33147186
2020-12-01,.33221003
2021-01-01,.33140308
2021-02-01,.33042496
2021-03-01,.3297514
2021-04-01,.32959747
2021-05-01,.32938164
2021-06-01,.32901651
2021-07-01,.32931149
2021-08-01,.33027688
