fecha,clae3,share_mujer
2007-01-01,11,.11259447
2007-01-01,12,.15563379
2007-01-01,13,.14055836
2007-01-01,14,.085909106
2007-01-01,16,.093483105
2007-01-01,17,.12631579
2007-01-01,21,.089762986
2007-01-01,22,.045994718
2007-01-01,24,.030955868
2007-01-01,31,.15780269
2007-01-01,32,.080882356
2007-01-01,51,.033707865
2007-01-01,61,.16108201
2007-01-01,62,.22360954
2007-01-01,71,.044176705
2007-01-01,72,.074025489
2007-01-01,81,.050485436
2007-01-01,89,.10158655
2007-01-01,91,.053504936
2007-01-01,99,.06342914
2007-01-01,101,.10871893
2007-01-01,102,.3018018
2007-01-01,103,.37755468
2007-01-01,104,.11637317
2007-01-01,105,.13880073
2007-01-01,106,.1171502
2007-01-01,107,.26556855
2007-01-01,108,.12742928
2007-01-01,109,.14646465
2007-01-01,110,.14313255
2007-01-01,120,.16259427
2007-01-01,131,.16601686
2007-01-01,139,.33670008
2007-01-01,141,.6100809
2007-01-01,142,.33096084
2007-01-01,143,.60750413
2007-01-01,149,.19047619
2007-01-01,151,.14451535
2007-01-01,152,.27323943
2007-01-01,161,.034279041
2007-01-01,162,.10076421
2007-01-01,170,.1360445
2007-01-01,181,.20394421
2007-01-01,182,.38461539
2007-01-01,191,.082872927
2007-01-01,192,.19916354
2007-01-01,201,.12805246
2007-01-01,202,.25054643
2007-01-01,203,.22448979
2007-01-01,204,.24264705
2007-01-01,210,.35725942
2007-01-01,221,.11165009
2007-01-01,222,.13739936
2007-01-01,231,.068986572
2007-01-01,239,.069803268
2007-01-01,241,.059614059
2007-01-01,242,.071571462
2007-01-01,243,.057874762
2007-01-01,251,.051567324
2007-01-01,252,.1072797
2007-01-01,259,.095346771
2007-01-01,261,.30136988
2007-01-01,262,.2707521
2007-01-01,263,.24052133
2007-01-01,264,.29139072
2007-01-01,265,.17702071
2007-01-01,266,.21973991
2007-01-01,267,.33376709
2007-01-01,268,.25
2007-01-01,271,.11092274
2007-01-01,272,.060555555
2007-01-01,273,.099719666
2007-01-01,274,.15502958
2007-01-01,275,.12062862
2007-01-01,279,.17709439
2007-01-01,281,.093433708
2007-01-01,282,.07806655
2007-01-01,291,.061170075
2007-01-01,292,.044372991
2007-01-01,293,.11431105
2007-01-01,301,.051287465
2007-01-01,302,.050215207
2007-01-01,303,.13277134
2007-01-01,309,.088946782
2007-01-01,310,.12685964
2007-01-01,321,.33733332
2007-01-01,322,.22797927
2007-01-01,323,.24820144
2007-01-01,324,.29612756
2007-01-01,329,.20699875
2007-01-01,331,.08367303
2007-01-01,332,.097055614
2007-01-01,351,.14951426
2007-01-01,352,.21373032
2007-01-01,353,0
2007-01-01,360,.18149792
2007-01-01,370,.10996564
2007-01-01,381,.050836921
2007-01-01,382,.080812104
2007-01-01,390,.11455847
2007-01-01,410,.0300101
2007-01-01,421,.069500804
2007-01-01,422,.044500936
2007-01-01,429,.043450814
2007-01-01,431,.046522923
2007-01-01,432,.059693199
2007-01-01,433,.055299539
2007-01-01,439,.034859523
2007-01-01,451,.20131868
2007-01-01,452,.07592985
2007-01-01,453,.13330258
2007-01-01,454,.18682753
2007-01-01,461,.181252
2007-01-01,462,.16731997
2007-01-01,463,.21343483
2007-01-01,464,.36898226
2007-01-01,465,.23764174
2007-01-01,466,.16169778
2007-01-01,469,.26679268
2007-01-01,471,.41513082
2007-01-01,472,.33985686
2007-01-01,473,.28678095
2007-01-01,474,.29510662
2007-01-01,475,.25854394
2007-01-01,476,.49032453
2007-01-01,477,.59850168
2007-01-01,478,.42352942
2007-01-01,479,.42023608
2007-01-01,491,.092688151
2007-01-01,492,.05195196
2007-01-01,493,.099594675
2007-01-01,501,.20029619
2007-01-01,502,.1264887
2007-01-01,511,.38332441
