fecha,letra,share_mujer
2007-01-01,A,.1136867
2007-01-01,B,.080763154
2007-01-01,C,.1813411
2007-01-01,D,.1572179
2007-01-01,E,.10244943
2007-01-01,F,.040427368
2007-01-01,G,.33777699
2007-01-01,H,.089371607
2007-01-01,I,.41734865
2007-01-01,J,.33679634
2007-01-01,K,.46300048
2007-01-01,L,.33054715
2007-01-01,M,.40583369
2007-01-01,N,.30574855
2007-01-01,O,.38392481
2007-01-01,P,.74194634
2007-01-01,Q,.72978455
2007-01-01,R,.39580861
2007-01-01,S,.45627308
2007-01-01,U,.53544497
2007-01-01,Z,.30518234
2007-02-01,A,.11615363
2007-02-01,B,.081793353
2007-02-01,C,.18126179
2007-02-01,D,.15775977
2007-02-01,E,.10373678
2007-02-01,F,.040203508
2007-02-01,G,.33648446
2007-02-01,H,.089567624
2007-02-01,I,.41780347
2007-02-01,J,.33844081
2007-02-01,K,.46532333
2007-02-01,L,.32972854
2007-02-01,M,.40283585
2007-02-01,N,.30910525
2007-02-01,O,.38412431
2007-02-01,P,.74114329
2007-02-01,Q,.73008555
2007-02-01,R,.39266977
2007-02-01,S,.45590878
2007-02-01,U,.53493613
2007-02-01,Z,.31141201
2007-03-01,A,.11494359
2007-03-01,B,.082175545
2007-03-01,C,.18011303
2007-03-01,D,.15786014
2007-03-01,E,.10309646
2007-03-01,F,.039660294
2007-03-01,G,.33351338
2007-03-01,H,.089113742
2007-03-01,I,.41491902
2007-03-01,J,.33800501
2007-03-01,K,.46731076
2007-03-01,L,.3260498
2007-03-01,M,.40382564
2007-03-01,N,.30856621
2007-03-01,O,.38410705
2007-03-01,P,.74019814
2007-03-01,Q,.73009014
2007-03-01,R,.3891485
2007-03-01,S,.45741737
2007-03-01,U,.53656715
2007-03-01,Z,.30232558
2007-04-01,A,.11087397
2007-04-01,B,.082357138
2007-04-01,C,.17929171
2007-04-01,D,.15806159
2007-04-01,E,.10267892
2007-04-01,F,.039797891
2007-04-01,G,.33209184
2007-04-01,H,.088377282
2007-04-01,I,.41489488
2007-04-01,J,.33742505
2007-04-01,K,.46757746
2007-04-01,L,.32482973
2007-04-01,M,.40277627
2007-04-01,N,.30970308
2007-04-01,O,.38597664
2007-04-01,P,.74161994
2007-04-01,Q,.73015696
2007-04-01,R,.3907119
2007-04-01,S,.45957243
2007-04-01,U,.53313255
2007-04-01,Z,.29981378
2007-05-01,A,.10273044
2007-05-01,B,.081832394
2007-05-01,C,.17772934
2007-05-01,D,.15832657
2007-05-01,E,.10268438
2007-05-01,F,.039191611
2007-05-01,G,.33191368
2007-05-01,H,.08786501
2007-05-01,I,.4119764
2007-05-01,J,.33694556
2007-05-01,K,.46721202
2007-05-01,L,.32408696
2007-05-01,M,.4036994
2007-05-01,N,.31280631
2007-05-01,O,.38624337
2007-05-01,P,.74119395
2007-05-01,Q,.72957814
2007-05-01,R,.38964757
2007-05-01,S,.46187526
2007-05-01,U,.53323263
2007-05-01,Z,.31656185
2007-06-01,A,.10061727
2007-06-01,B,.081460409
2007-06-01,C,.17785479
2007-06-01,D,.15895921
2007-06-01,E,.1023003
2007-06-01,F,.039432805
2007-06-01,G,.33350036
2007-06-01,H,.088251941
2007-06-01,I,.41249579
2007-06-01,J,.33723909
2007-06-01,K,.46855831
2007-06-01,L,.32475206
2007-06-01,M,.40846956
2007-06-01,N,.31293654
2007-06-01,O,.30498648
2007-06-01,P,.74014229
2007-06-01,Q,.72871876
2007-06-01,R,.39508954
2007-06-01,S,.4636226
2007-06-01,U,.53157896
2007-06-01,Z,.30802602
2007-07-01,A,.097690053
2007-07-01,B,.082323261
2007-07-01,C,.17655127
2007-07-01,D,.15992109
2007-07-01,E,.10393374
2007-07-01,F,.039924823
2007-07-01,G,.33451933
2007-07-01,H,.08879476
2007-07-01,I,.41687149
2007-07-01,J,.3385298
2007-07-01,K,.46882161
2007-07-01,L,.3260605
2007-07-01,M,.40678668
2007-07-01,N,.31333771
2007-07-01,O,.30248839
2007-07-01,P,.74160695
2007-07-01,Q,.72898191
2007-07-01,R,.3996062
2007-07-01,S,.4640111
2007-07-01,U,.53218561
2007-07-01,Z,.30000001
2007-08-01,A,.09607733
2007-08-01,B,.081636697
2007-08-01,C,.17659774
2007-08-01,D,.16068925
2007-08-01,E,.10394091
2007-08-01,F,.040121965
2007-08-01,G,.33542433
2007-08-01,H,.089159101
2007-08-01,I,.41717154
2007-08-01,J,.33882633
2007-08-01,K,.46916911
2007-08-01,L,.3291254
2007-08-01,M,.40720242
2007-08-01,N,.31355983
2007-08-01,O,.30406824
2007-08-01,P,.73971748
2007-08-01,Q,.72928619
2007-08-01,R,.39701131
2007-08-01,S,.46451226
2007-08-01,U,.53047407
2007-08-01,Z,.28484848
2007-09-01,A,.095396459
2007-09-01,B,.08111234
2007-09-01,C,.17694622
2007-09-01,D,.1605036
2007-09-01,E,.10374391
2007-09-01,F,.040433832
2007-09-01,G,.33483505
2007-09-01,H,.088655889
2007-09-01,I,.41643849
2007-09-01,J,.3380087
2007-09-01,K,.47003347
2007-09-01,L,.3273536
2007-09-01,M,.40865082
2007-09-01,N,.31589964
2007-09-01,O,.30411619
2007-09-01,P,.74000865
2007-09-01,Q,.72950834
2007-09-01,R,.39198259
2007-09-01,S,.46506584
2007-09-01,U,.53472739
2007-09-01,Z,.26923078
2007-10-01,A,.10725512
2007-10-01,B,.082527161
2007-10-01,C,.17726608
2007-10-01,D,.16012031
2007-10-01,E,.10284706
2007-10-01,F,.040646344
2007-10-01,G,.33562735
2007-10-01,H,.089195713
2007-10-01,I,.42010027
2007-10-01,J,.33973938
2007-10-01,K,.4714509
2007-10-01,L,.32862741
2007-10-01,M,.40852123
2007-10-01,N,.31555438
2007-10-01,O,.29530242
2007-10-01,P,.74015623
2007-10-01,Q,.72987425
2007-10-01,R,.39087769
2007-10-01,S,.46581048
2007-10-01,U,.53298742
2007-10-01,Z,.28375733
2007-11-01,A,.11926215
2007-11-01,B,.081697732
2007-11-01,C,.17707208
2007-11-01,D,.16058247
2007-11-01,E,.10425767
2007-11-01,F,.041191272
2007-11-01,G,.33676919
2007-11-01,H,.089326024
2007-11-01,I,.42077842
2007-11-01,J,.34133181
2007-11-01,K,.47260109
2007-11-01,L,.33078557
2007-11-01,M,.41176385
2007-11-01,N,.3182998
2007-11-01,O,.29544771
2007-11-01,P,.73993999
2007-11-01,Q,.72994447
2007-11-01,R,.39092162
2007-11-01,S,.4659625
2007-11-01,U,.53515917
2007-11-01,Z,.26797387
2007-12-01,A,.11686058
2007-12-01,B,.081896991
2007-12-01,C,.17934701
2007-12-01,D,.16121092
2007-12-01,E,.10298581
2007-12-01,F,.043428387
2007-12-01,G,.34109834
2007-12-01,H,.089266263
2007-12-01,I,.42545357
2007-12-01,J,.34129408
2007-12-01,K,.47338644
2007-12-01,L,.33416724
2007-12-01,M,.41739529
2007-12-01,N,.31250852
2007-12-01,O,.29203904
2007-12-01,P,.73973244
2007-12-01,Q,.72990918
2007-12-01,R,.39470449
2007-12-01,S,.46694857
2007-12-01,U,.5378955
2007-12-01,Z,.25213677
2008-01-01,A,.11440375
2008-01-01,B,.081994131
2008-01-01,C,.1809189
2008-01-01,D,.16077386
2008-01-01,E,.10253084
2008-01-01,F,.043720249
2008-01-01,G,.3435849
2008-01-01,H,.092444696
2008-01-01,I,.42910263
2008-01-01,J,.33994621
2008-01-01,K,.47377554
2008-01-01,L,.33669868
2008-01-01,M,.41154176
2008-01-01,N,.30935642
2008-01-01,O,.29604957
2008-01-01,P,.74117714
2008-01-01,Q,.72938436
2008-01-01,R,.39960107
2008-01-01,S,.46463791
2008-01-01,U,.53259259
2008-01-01,Z,.25576037
2008-02-01,A,.11719062
2008-02-01,B,.083642818
2008-02-01,C,.18159711
2008-02-01,D,.16023389
2008-02-01,E,.10263003
2008-02-01,F,.043427277
2008-02-01,G,.34265319
2008-02-01,H,.090024963
2008-02-01,I,.42958385
2008-02-01,J,.34209287
2008-02-01,K,.47544736
2008-02-01,L,.3352139
2008-02-01,M,.41214359
2008-02-01,N,.31185004
2008-02-01,O,.29619595
2008-02-01,P,.74097031
2008-02-01,Q,.72938895
2008-02-01,R,.3988781
2008-02-01,S,.46379101
2008-02-01,U,.53484958
2008-02-01,Z,.26618704
2008-03-01,A,.11742977
2008-03-01,B,.083150245
2008-03-01,C,.18116036
2008-03-01,D,.15990174
2008-03-01,E,.10289979
2008-03-01,F,.043371081
2008-03-01,G,.34098196
2008-03-01,H,.089590088
2008-03-01,I,.42788678
2008-03-01,J,.34223399
2008-03-01,K,.4764137
2008-03-01,L,.33526477
2008-03-01,M,.41233924
2008-03-01,N,.31520903
2008-03-01,O,.29414755
2008-03-01,P,.74066651
2008-03-01,Q,.72948098
2008-03-01,R,.39827871
2008-03-01,S,.4640314
2008-03-01,U,.5384047
2008-03-01,Z,.27832511
2008-04-01,A,.11399737
2008-04-01,B,.082782887
2008-04-01,C,.18032752
2008-04-01,D,.15990458
2008-04-01,E,.10347532
2008-04-01,F,.042679321
2008-04-01,G,.33962208
2008-04-01,H,.088890843
2008-04-01,I,.42652825
2008-04-01,J,.34161529
2008-04-01,K,.47553307
2008-04-01,L,.33309329
2008-04-01,M,.41472909
2008-04-01,N,.31709895
2008-04-01,O,.29596061
2008-04-01,P,.74091196
2008-04-01,Q,.72948378
2008-04-01,R,.39508051
2008-04-01,S,.46614537
2008-04-01,U,.5420354
2008-04-01,Z,.27419356
2008-05-01,A,.10686477
2008-05-01,B,.083277866
2008-05-01,C,.17901869
2008-05-01,D,.16042887
2008-05-01,E,.10449827
2008-05-01,F,.042833325
2008-05-01,G,.34097874
2008-05-01,H,.089099012
2008-05-01,I,.42649758
2008-05-01,J,.34111324
2008-05-01,K,.4761312
2008-05-01,L,.33218792
2008-05-01,M,.41331866
2008-05-01,N,.32073069
2008-05-01,O,.30740443
2008-05-01,P,.7410509
2008-05-01,Q,.72975743
2008-05-01,R,.39877415
2008-05-01,S,.46771666
2008-05-01,U,.54245973
2008-05-01,Z,.25345623
2008-06-01,A,.10499904
2008-06-01,B,.083552904
2008-06-01,C,.17920713
2008-06-01,D,.16106245
2008-06-01,E,.10457952
2008-06-01,F,.043619864
2008-06-01,G,.34220374
2008-06-01,H,.08927156
2008-06-01,I,.42762244
2008-06-01,J,.34057158
2008-06-01,K,.47714666
