fecha,share_mujer
2007-01-01,.30084738
2007-02-01,.29998919
2007-03-01,.29846141
2007-04-01,.29865798
2007-05-01,.29822496
2007-06-01,.29960772
2007-07-01,.29953107
2007-08-01,.29978475
2007-09-01,.30002621
2007-10-01,.30069193
2007-11-01,.30203032
2007-12-01,.30442706
2008-01-01,.30319691
2008-02-01,.30288336
2008-03-01,.30244318
2008-04-01,.30219817
2008-05-01,.30312961
2008-06-01,.30492443
2008-07-01,.30481744
2008-08-01,.30571479
2008-09-01,.3060647
2008-10-01,.30754232
2008-11-01,.30879354
2008-12-01,.31047168
2009-01-01,.31102005
2009-02-01,.31106597
2009-03-01,.31008264
2009-04-01,.31068838
2009-05-01,.31069434
2009-06-01,.31090266
2009-07-01,.311111
2009-08-01,.31158587
2009-09-01,.31208214
2009-10-01,.31253213
2009-11-01,.31298214
2009-12-01,.31482705
2010-01-01,.3143177
2010-02-01,.31401655
2010-03-01,.31222895
2010-04-01,.31222537
2010-05-01,.31280687
2010-06-01,.31370449
2010-07-01,.31346157
2010-08-01,.31353626
2010-09-01,.31322706
2010-10-01,.31368572
2010-11-01,.31357861
2010-12-01,.31533989
2011-01-01,.31499052
2011-02-01,.31444845
2011-03-01,.31221005
2011-04-01,.31184676
2011-05-01,.31168386
2011-06-01,.3126305
2011-07-01,.31290102
2011-08-01,.31330463
2011-09-01,.31326923
2011-10-01,.31334463
2011-11-01,.31386033
2011-12-01,.31601468
2012-01-01,.31559411
2012-02-01,.31581205
2012-03-01,.3144877
2012-04-01,.31475404
2012-05-01,.31475243
2012-06-01,.31606701
2012-07-01,.31638521
2012-08-01,.31683624
2012-09-01,.31720951
2012-10-01,.31733385
2012-11-01,.31752652
2012-12-01,.31744808
2013-01-01,.31736964
2013-02-01,.31818238
2013-03-01,.31636029
2013-04-01,.31593594
2013-05-01,.31593752
2013-06-01,.31734651
2013-07-01,.31699803
2013-08-01,.31787238
2013-09-01,.31740516
2013-10-01,.31794536
2013-11-01,.31901941
2013-12-01,.31989723
2014-01-01,.31926265
2014-02-01,.31998196
2014-03-01,.31891775
2014-04-01,.31859356
2014-05-01,.31878033
2014-06-01,.31901404
2014-07-01,.31909165
2014-08-01,.31973472
2014-09-01,.31966645
2014-10-01,.32011211
2014-11-01,.31996426
2014-12-01,.32146972
2015-01-01,.32083562
2015-02-01,.32042786
2015-03-01,.31900722
2015-04-01,.31860006
2015-05-01,.31879154
2015-06-01,.31890684
2015-07-01,.31922305
2015-08-01,.32071173
2015-09-01,.32045206
2015-10-01,.3218911
2015-11-01,.32284862
2015-12-01,.32484162
2016-01-01,.32492819
2016-02-01,.32540765
2016-03-01,.32477754
2016-04-01,.32504705
2016-05-01,.32551411
2016-06-01,.3260164
2016-07-01,.32627556
2016-08-01,.32622615
2016-09-01,.32644051
2016-10-01,.32679844
2016-11-01,.32658094
2016-12-01,.32775226
2017-01-01,.32681686
2017-02-01,.32636568
2017-03-01,.32522917
2017-04-01,.32520249
2017-05-01,.32484677
2017-06-01,.32515144
2017-07-01,.32562521
2017-08-01,.3263306
2017-09-01,.32549256
2017-10-01,.32628459
2017-11-01,.32561558
2017-12-01,.32716265
2018-01-01,.32598856
2018-02-01,.32619345
2018-03-01,.32549003
2018-04-01,.32538235
2018-05-01,.32596344
2018-06-01,.32655001
2018-07-01,.3269231
2018-08-01,.32704809
2018-09-01,.3280462
2018-10-01,.32872418
2018-11-01,.32891831
2018-12-01,.33014554
2019-01-01,.32874134
2019-02-01,.32800177
2019-03-01,.32755631
2019-04-01,.32748246
2019-05-01,.32777721
2019-06-01,.32911244
2019-07-01,.32931781
2019-08-01,.33084595
2019-09-01,.3306095
2019-10-01,.33271608
2019-11-01,.33213449
2019-12-01,.33390099
2020-01-01,.33359393
2020-02-01,.33337465
2020-03-01,.33283529
2020-04-01,.33268911
2020-05-01,.33253711
2020-06-01,.33191925
2020-07-01,.33170441
2020-08-01,.33128989
2020-09-01,.33050135
2020-10-01,.32995394
2020-11-01,.32925567
2020-12-01,.32997334
2021-01-01,.32920876
2021-02-01,.32826835
2021-03-01,.32764536
2021-04-01,.32747388
2021-05-01,.32723376
2021-06-01,.32727018
2021-07-01,.32753962
2021-08-01,.32867053
