fecha,zona_prov,share_mujer
2007-01-01,BUENOS AIRES,.30620968
2007-01-01,CAPITAL FEDERAL,.36106133
2007-01-01,CATAMARCA,.23787057
2007-01-01,CHACO,.22507219
2007-01-01,CHUBUT,.23996237
2007-01-01,CORDOBA,.30139852
2007-01-01,CORRIENTES,.19224645
2007-01-01,ENTRE RIOS,.25634727
2007-01-01,FORMOSA,.19632669
2007-01-01,JUJUY,.21416344
2007-01-01,LA PAMPA,.26836511
2007-01-01,LA RIOJA,.24158616
2007-01-01,MENDOZA,.28416294
2007-01-01,MISIONES,.18067665
2007-01-01,NEUQUEN,.24603461
2007-01-01,RIO NEGRO,.29960489
2007-01-01,SALTA,.24116106
2007-01-01,SAN JUAN,.24093363
2007-01-01,SAN LUIS,.24115266
2007-01-01,SANTA CRUZ,.21477099
2007-01-01,SANTA FE,.2710292
2007-01-01,SANTIAGO DEL ESTERO,.27333593
2007-01-01,TIERRA DEL FUEGO,.28614479
2007-01-01,TUCUMAN,.2590757
2007-02-01,BUENOS AIRES,.30628124
2007-02-01,CAPITAL FEDERAL,.36109063
2007-02-01,CATAMARCA,.22940776
2007-02-01,CHACO,.22010057
2007-02-01,CHUBUT,.23575966
2007-02-01,CORDOBA,.3006902
2007-02-01,CORRIENTES,.19252177
2007-02-01,ENTRE RIOS,.2568734
2007-02-01,FORMOSA,.19558161
2007-02-01,JUJUY,.21688943
2007-02-01,LA PAMPA,.26441747
2007-02-01,LA RIOJA,.23268498
2007-02-01,MENDOZA,.28299916
2007-02-01,MISIONES,.17858765
2007-02-01,NEUQUEN,.24478982
2007-02-01,RIO NEGRO,.30193704
2007-02-01,SALTA,.2439858
2007-02-01,SAN JUAN,.23546709
2007-02-01,SAN LUIS,.24224587
2007-02-01,SANTA CRUZ,.20847656
2007-02-01,SANTA FE,.26939845
2007-02-01,SANTIAGO DEL ESTERO,.26648688
2007-02-01,TIERRA DEL FUEGO,.28671771
2007-02-01,TUCUMAN,.254002
2007-03-01,BUENOS AIRES,.30307773
2007-03-01,CAPITAL FEDERAL,.36250177
2007-03-01,CATAMARCA,.22315066
2007-03-01,CHACO,.21609053
2007-03-01,CHUBUT,.23710078
2007-03-01,CORDOBA,.29706773
2007-03-01,CORRIENTES,.19185276
2007-03-01,ENTRE RIOS,.25573084
2007-03-01,FORMOSA,.19134158
2007-03-01,JUJUY,.22047262
2007-03-01,LA PAMPA,.26194775
2007-03-01,LA RIOJA,.23074198
2007-03-01,MENDOZA,.277877
2007-03-01,MISIONES,.17960201
2007-03-01,NEUQUEN,.24420187
2007-03-01,RIO NEGRO,.3032853
2007-03-01,SALTA,.24225269
2007-03-01,SAN JUAN,.23541194
2007-03-01,SAN LUIS,.24279593
2007-03-01,SANTA CRUZ,.2009481
2007-03-01,SANTA FE,.26886314
2007-03-01,SANTIAGO DEL ESTERO,.26313931
2007-03-01,TIERRA DEL FUEGO,.28586742
2007-03-01,TUCUMAN,.24810772
2007-04-01,BUENOS AIRES,.30311164
2007-04-01,CAPITAL FEDERAL,.36219552
2007-04-01,CATAMARCA,.22543976
2007-04-01,CHACO,.21683201
2007-04-01,CHUBUT,.23607865
2007-04-01,CORDOBA,.296655
2007-04-01,CORRIENTES,.18985683
2007-04-01,ENTRE RIOS,.25630024
2007-04-01,FORMOSA,.19589487
2007-04-01,JUJUY,.22306356
2007-04-01,LA PAMPA,.26259363
2007-04-01,LA RIOJA,.23801036
2007-04-01,MENDOZA,.27584621
2007-04-01,MISIONES,.17902279
2007-04-01,NEUQUEN,.24768348
2007-04-01,RIO NEGRO,.31358054
2007-04-01,SALTA,.24227366
2007-04-01,SAN JUAN,.23494366
2007-04-01,SAN LUIS,.24320841
2007-04-01,SANTA CRUZ,.19962081
2007-04-01,SANTA FE,.27133393
2007-04-01,SANTIAGO DEL ESTERO,.26586965
2007-04-01,TIERRA DEL FUEGO,.28965071
2007-04-01,TUCUMAN,.24241847
2007-05-01,BUENOS AIRES,.30222955
2007-05-01,CAPITAL FEDERAL,.36381593
2007-05-01,CATAMARCA,.22826912
2007-05-01,CHACO,.21397111
2007-05-01,CHUBUT,.23384608
2007-05-01,CORDOBA,.29732907
2007-05-01,CORRIENTES,.18714856
2007-05-01,ENTRE RIOS,.25653154
2007-05-01,FORMOSA,.18935996
2007-05-01,JUJUY,.21449628
2007-05-01,LA PAMPA,.25971785
2007-05-01,LA RIOJA,.24406347
2007-05-01,MENDOZA,.26947471
2007-05-01,MISIONES,.17670485
2007-05-01,NEUQUEN,.24614285
2007-05-01,RIO NEGRO,.30890572
2007-05-01,SALTA,.24019538
2007-05-01,SAN JUAN,.23718379
2007-05-01,SAN LUIS,.24183278
2007-05-01,SANTA CRUZ,.19763775
2007-05-01,SANTA FE,.27204669
2007-05-01,SANTIAGO DEL ESTERO,.26396438
2007-05-01,TIERRA DEL FUEGO,.28446373
2007-05-01,TUCUMAN,.23813079
2007-06-01,BUENOS AIRES,.30408475
2007-06-01,CAPITAL FEDERAL,.36539751
2007-06-01,CATAMARCA,.23542373
2007-06-01,CHACO,.2163998
2007-06-01,CHUBUT,.23509008
2007-06-01,CORDOBA,.30006769
2007-06-01,CORRIENTES,.18836971
2007-06-01,ENTRE RIOS,.2573866
2007-06-01,FORMOSA,.18734081
2007-06-01,JUJUY,.20887233
2007-06-01,LA PAMPA,.25970536
2007-06-01,LA RIOJA,.24560954
