fecha,zona_prov,share_mujer
2007-01-01,BUENOS AIRES,.30475378
2007-01-01,CAPITAL FEDERAL,.36083904
2007-01-01,CATAMARCA,.23740958
2007-01-01,CHACO,.22012769
2007-01-01,CHUBUT,.24098304
2007-01-01,CORDOBA,.29924634
2007-01-01,CORRIENTES,.19220616
2007-01-01,ENTRE RIOS,.25628453
2007-01-01,FORMOSA,.19624001
2007-01-01,JUJUY,.21367081
2007-01-01,LA PAMPA,.26655519
2007-01-01,LA RIOJA,.24187712
2007-01-01,MENDOZA,.28252366
2007-01-01,MISIONES,.18223865
2007-01-01,NEUQUEN,.24502526
2007-01-01,RIO NEGRO,.29855177
2007-01-01,SALTA,.24025874
2007-01-01,SAN JUAN,.24039806
2007-01-01,SAN LUIS,.24114111
2007-01-01,SANTA CRUZ,.21487071
2007-01-01,SANTA FE,.27027985
2007-01-01,SANTIAGO DEL ESTERO,.27254093
2007-01-01,TIERRA DEL FUEGO,.28562996
2007-01-01,TUCUMAN,.25837648
2007-02-01,BUENOS AIRES,.30482054
2007-02-01,CAPITAL FEDERAL,.36083889
2007-02-01,CATAMARCA,.22911748
2007-02-01,CHACO,.21548487
2007-02-01,CHUBUT,.2369047
2007-02-01,CORDOBA,.29855984
2007-02-01,CORRIENTES,.19249251
2007-02-01,ENTRE RIOS,.25681683
2007-02-01,FORMOSA,.19556595
2007-02-01,JUJUY,.21637754
2007-02-01,LA PAMPA,.26277891
2007-02-01,LA RIOJA,.23304161
2007-02-01,MENDOZA,.28143254
2007-02-01,MISIONES,.17998748
2007-02-01,NEUQUEN,.24400452
2007-02-01,RIO NEGRO,.30089688
2007-02-01,SALTA,.24308065
2007-02-01,SAN JUAN,.23496674
2007-02-01,SAN LUIS,.24223211
2007-02-01,SANTA CRUZ,.20864123
2007-02-01,SANTA FE,.26866594
2007-02-01,SANTIAGO DEL ESTERO,.26577234
2007-02-01,TIERRA DEL FUEGO,.28620386
2007-02-01,TUCUMAN,.25336799
2007-03-01,BUENOS AIRES,.30167854
2007-03-01,CAPITAL FEDERAL,.36223301
2007-03-01,CATAMARCA,.2231748
2007-03-01,CHACO,.21176471
2007-03-01,CHUBUT,.23820293
2007-03-01,CORDOBA,.29505521
2007-03-01,CORRIENTES,.19181244
2007-03-01,ENTRE RIOS,.25569856
2007-03-01,FORMOSA,.19135657
2007-03-01,JUJUY,.21987966
2007-03-01,LA PAMPA,.26046252
2007-03-01,LA RIOJA,.23108573
2007-03-01,MENDOZA,.27632672
2007-03-01,MISIONES,.18093294
2007-03-01,NEUQUEN,.24337208
2007-03-01,RIO NEGRO,.30219874
2007-03-01,SALTA,.24133661
2007-03-01,SAN JUAN,.23493037
2007-03-01,SAN LUIS,.24274917
2007-03-01,SANTA CRUZ,.20115893
2007-03-01,SANTA FE,.2681309
2007-03-01,SANTIAGO DEL ESTERO,.26249161
2007-03-01,TIERRA DEL FUEGO,.28531954
2007-03-01,TUCUMAN,.24755239
2007-04-01,BUENOS AIRES,.30168498
2007-04-01,CAPITAL FEDERAL,.36194503
2007-04-01,CATAMARCA,.2254847
2007-04-01,CHACO,.21254845
2007-04-01,CHUBUT,.23723342
2007-04-01,CORDOBA,.29469281
2007-04-01,CORRIENTES,.18983348
2007-04-01,ENTRE RIOS,.25626531
2007-04-01,FORMOSA,.19582696
2007-04-01,JUJUY,.22244276
2007-04-01,LA PAMPA,.26111481
2007-04-01,LA RIOJA,.23830065
2007-04-01,MENDOZA,.27430558
2007-04-01,MISIONES,.18032488
2007-04-01,NEUQUEN,.2462721
2007-04-01,RIO NEGRO,.31222385
2007-04-01,SALTA,.24136451
2007-04-01,SAN JUAN,.23449096
2007-04-01,SAN LUIS,.24320331
2007-04-01,SANTA CRUZ,.19989254
2007-04-01,SANTA FE,.27060711
2007-04-01,SANTIAGO DEL ESTERO,.26520559
2007-04-01,TIERRA DEL FUEGO,.28904104
2007-04-01,TUCUMAN,.2419405
2007-05-01,BUENOS AIRES,.30081016
2007-05-01,CAPITAL FEDERAL,.36350548
2007-05-01,CATAMARCA,.22832879
2007-05-01,CHACO,.20989892
2007-05-01,CHUBUT,.23502299
2007-05-01,CORDOBA,.29541135
2007-05-01,CORRIENTES,.18711025
2007-05-01,ENTRE RIOS,.25648659
2007-05-01,FORMOSA,.1893961
2007-05-01,JUJUY,.21395424
2007-05-01,LA PAMPA,.25831455
2007-05-01,LA RIOJA,.24432129
2007-05-01,MENDOZA,.26788136
2007-05-01,MISIONES,.17806286
2007-05-01,NEUQUEN,.24480078
2007-05-01,RIO NEGRO,.30750844
2007-05-01,SALTA,.23930062
2007-05-01,SAN JUAN,.23669748
2007-05-01,SAN LUIS,.24186629
2007-05-01,SANTA CRUZ,.19791839
2007-05-01,SANTA FE,.27129263
2007-05-01,SANTIAGO DEL ESTERO,.26329386
2007-05-01,TIERRA DEL FUEGO,.28382429
2007-05-01,TUCUMAN,.23770761
2007-06-01,BUENOS AIRES,.3022058
2007-06-01,CAPITAL FEDERAL,.364887
2007-06-01,CATAMARCA,.23536652
2007-06-01,CHACO,.21230295
2007-06-01,CHUBUT,.2362276
2007-06-01,CORDOBA,.29812357
2007-06-01,CORRIENTES,.18833868
2007-06-01,ENTRE RIOS,.25735587
2007-06-01,FORMOSA,.18743612
2007-06-01,JUJUY,.2083935
2007-06-01,LA PAMPA,.25833648
2007-06-01,LA RIOJA,.24584766
2007-06-01,MENDOZA,.268843
2007-06-01,MISIONES,.17942956
2007-06-01,NEUQUEN,.24650088
2007-06-01,RIO NEGRO,.31014892
2007-06-01,SALTA,.23794058
2007-06-01,SAN JUAN,.23495379
2007-06-01,SAN LUIS,.24314496
2007-06-01,SANTA CRUZ,.19999254
2007-06-01,SANTA FE,.27450719
2007-06-01,SANTIAGO DEL ESTERO,.26502225
2007-06-01,TIERRA DEL FUEGO,.28620169
2007-06-01,TUCUMAN,.23400196
2007-07-01,BUENOS AIRES,.30223349
2007-07-01,CAPITAL FEDERAL,.36431193
2007-07-01,CATAMARCA,.23805995
2007-07-01,CHACO,.21394265
2007-07-01,CHUBUT,.23995641
2007-07-01,CORDOBA,.29856265
2007-07-01,CORRIENTES,.18623674
2007-07-01,ENTRE RIOS,.25687495
2007-07-01,FORMOSA,.18529718
2007-07-01,JUJUY,.20683481
2007-07-01,LA PAMPA,.25454593
2007-07-01,LA RIOJA,.24286662
2007-07-01,MENDOZA,.26401505
2007-07-01,MISIONES,.17943412
2007-07-01,NEUQUEN,.2485882
2007-07-01,RIO NEGRO,.30785677
2007-07-01,SALTA,.23728652
2007-07-01,SAN JUAN,.23332898
2007-07-01,SAN LUIS,.24461062
2007-07-01,SANTA CRUZ,.20877458
2007-07-01,SANTA FE,.27454352
2007-07-01,SANTIAGO DEL ESTERO,.2699717
2007-07-01,TIERRA DEL FUEGO,.28626901
2007-07-01,TUCUMAN,.233851
2007-08-01,BUENOS AIRES,.30241868
2007-08-01,CAPITAL FEDERAL,.36427644
2007-08-01,CATAMARCA,.23679774
2007-08-01,CHACO,.2161496
2007-08-01,CHUBUT,.24070886
2007-08-01,CORDOBA,.29915941
2007-08-01,CORRIENTES,.18952626
2007-08-01,ENTRE RIOS,.25544745
2007-08-01,FORMOSA,.18272835
2007-08-01,JUJUY,.2059395
2007-08-01,LA PAMPA,.25308642
2007-08-01,LA RIOJA,.24153225
2007-08-01,MENDOZA,.26467106
2007-08-01,MISIONES,.18031557
2007-08-01,NEUQUEN,.24879275
2007-08-01,RIO NEGRO,.30993128
2007-08-01,SALTA,.23587213
2007-08-01,SAN JUAN,.23456238
2007-08-01,SAN LUIS,.24499579
2007-08-01,SANTA CRUZ,.20895323
2007-08-01,SANTA FE,.27362785
2007-08-01,SANTIAGO DEL ESTERO,.26928759
2007-08-01,TIERRA DEL FUEGO,.28859577
2007-08-01,TUCUMAN,.23693815
2007-09-01,BUENOS AIRES,.30223256
2007-09-01,CAPITAL FEDERAL,.36435568
2007-09-01,CATAMARCA,.23758376
2007-09-01,CHACO,.21954447
2007-09-01,CHUBUT,.24012649
2007-09-01,CORDOBA,.29961759
2007-09-01,CORRIENTES,.1913316
2007-09-01,ENTRE RIOS,.25546679
2007-09-01,FORMOSA,.18214269
2007-09-01,JUJUY,.20295918
2007-09-01,LA PAMPA,.25209147
2007-09-01,LA RIOJA,.24224693
2007-09-01,MENDOZA,.2666865
2007-09-01,MISIONES,.18145543
2007-09-01,NEUQUEN,.24943902
