fecha,zona_prov,share_mujer
2013-01-01,BUENOS AIRES,.39683864
2013-01-01,CAPITAL FEDERAL,.40597263
2013-01-01,CATAMARCA,.38749987
2013-01-01,CHACO,.39649096
2013-01-01,CHUBUT,.36304161
2013-01-01,CORDOBA,.40390566
2013-01-01,CORRIENTES,.28267983
2013-01-01,ENTRE RIOS,.39228046
2013-01-01,FORMOSA,.39325947
2013-01-01,JUJUY,.40394863
2013-01-01,LA PAMPA,.42429838
2013-01-01,LA RIOJA,.40483046
2013-01-01,MENDOZA,.38329631
2013-01-01,MISIONES,.36868182
2013-01-01,NEUQUEN,.37825054
2013-01-01,RIO NEGRO,.39238599
2013-01-01,SALTA,.38398769
2013-01-01,SAN JUAN,.33431658
2013-01-01,SAN LUIS,.36165962
2013-01-01,SANTA CRUZ,.23634738
2013-01-01,SANTA FE,.37328091
2013-01-01,SANTIAGO DEL ESTERO,.38701385
2013-01-01,TIERRA DEL FUEGO,.39670748
2013-01-01,TUCUMAN,.36534745
2013-02-01,BUENOS AIRES,.39725885
2013-02-01,CAPITAL FEDERAL,.40680045
2013-02-01,CATAMARCA,.37915823
2013-02-01,CHACO,.4028514
2013-02-01,CHUBUT,.36496025
2013-02-01,CORDOBA,.39860007
2013-02-01,CORRIENTES,.36438906
2013-02-01,ENTRE RIOS,.39165959
2013-02-01,FORMOSA,.39223182
2013-02-01,JUJUY,.40711027
2013-02-01,LA PAMPA,.42258701
2013-02-01,LA RIOJA,.3847869
2013-02-01,MENDOZA,.38124073
2013-02-01,MISIONES,.36865738
2013-02-01,NEUQUEN,.3752932
2013-02-01,RIO NEGRO,.38946247
2013-02-01,SALTA,.38421145
2013-02-01,SAN JUAN,.33011991
2013-02-01,SAN LUIS,.36181584
2013-02-01,SANTA CRUZ,.2353427
2013-02-01,SANTA FE,.37256354
2013-02-01,SANTIAGO DEL ESTERO,.38761809
2013-02-01,TIERRA DEL FUEGO,.39879882
2013-02-01,TUCUMAN,.36412528
2013-03-01,BUENOS AIRES,.39495039
2013-03-01,CAPITAL FEDERAL,.40723729
2013-03-01,CATAMARCA,.37895465
2013-03-01,CHACO,.30903834
2013-03-01,CHUBUT,.36601168
2013-03-01,CORDOBA,.39743808
2013-03-01,CORRIENTES,.36333951
2013-03-01,ENTRE RIOS,.39094457
2013-03-01,FORMOSA,.39048141
2013-03-01,JUJUY,.40780666
2013-03-01,LA PAMPA,.42364445
2013-03-01,LA RIOJA,.38219464
2013-03-01,MENDOZA,.3737807
2013-03-01,MISIONES,.367946
2013-03-01,NEUQUEN,.37658098
2013-03-01,RIO NEGRO,.39229223
2013-03-01,SALTA,.382229
2013-03-01,SAN JUAN,.32751951
2013-03-01,SAN LUIS,.36192909
2013-03-01,SANTA CRUZ,.23368259
2013-03-01,SANTA FE,.37385452
2013-03-01,SANTIAGO DEL ESTERO,.38666278
2013-03-01,TIERRA DEL FUEGO,.39404193
2013-03-01,TUCUMAN,.35852683
2013-04-01,BUENOS AIRES,.39554513
2013-04-01,CAPITAL FEDERAL,.40600747
2013-04-01,CATAMARCA,.37949166
2013-04-01,CHACO,.30849814
2013-04-01,CHUBUT,.36626858
2013-04-01,CORDOBA,.39670584
2013-04-01,CORRIENTES,.35978329
2013-04-01,ENTRE RIOS,.39008239
2013-04-01,FORMOSA,.38910511
2013-04-01,JUJUY,.39721423
2013-04-01,LA PAMPA,.42121339
2013-04-01,LA RIOJA,.39042914
2013-04-01,MENDOZA,.37164024
2013-04-01,MISIONES,.36359075
2013-04-01,NEUQUEN,.38009596
2013-04-01,RIO NEGRO,.40478212
2013-04-01,SALTA,.38332799
2013-04-01,SAN JUAN,.32508546
2013-04-01,SAN LUIS,.36111018
2013-04-01,SANTA CRUZ,.228636
2013-04-01,SANTA FE,.37302259
2013-04-01,SANTIAGO DEL ESTERO,.38541418
2013-04-01,TIERRA DEL FUEGO,.39385918
2013-04-01,TUCUMAN,.3512308
2013-05-01,BUENOS AIRES,.39438203
2013-05-01,CAPITAL FEDERAL,.40151465
2013-05-01,CATAMARCA,.38028386
2013-05-01,CHACO,.30750126
2013-05-01,CHUBUT,.36571127
2013-05-01,CORDOBA,.38826567
2013-05-01,CORRIENTES,.36075127
2013-05-01,ENTRE RIOS,.39093193
2013-05-01,FORMOSA,.38737679
2013-05-01,JUJUY,.40059829
2013-05-01,LA PAMPA,.42239162
2013-05-01,LA RIOJA,.39817354
2013-05-01,MENDOZA,.38288742
2013-05-01,MISIONES,.36156887
2013-05-01,NEUQUEN,.38110274
2013-05-01,RIO NEGRO,.40590397
2013-05-01,SALTA,.38184637
2013-05-01,SAN JUAN,.32904691
2013-05-01,SAN LUIS,.36200887
2013-05-01,SANTA CRUZ,.22731204
2013-05-01,SANTA FE,.37571353
2013-05-01,SANTIAGO DEL ESTERO,.38605225
2013-05-01,TIERRA DEL FUEGO,.38981286
2013-05-01,TUCUMAN,.34785557
